_____________________________
|   Token     |  Position   |
|-------------|-------------|
|a            | 0           |
|read         | -1          |
|(            | -1          |
|)            | -1          |
|i            | 4           |
|sum          | 1           |
|+            | -1          |
|list         | -1          |
|,            | -1          |
|while        | -1          |
|int          | -1          |
|n            | 3           |
|0            | 2           |
|1            | 5           |
|{            | -1          |
|;            | -1          |
|[            | -1          |
|<            | -1          |
|=            | -1          |
|]            | -1          |
|}            | -1          |
|write        | -1          |
|___________________________|
